i'm just curious	je suis juste curieuse
i've got plans for you	j'ai des projets pour toi
he cannot be saved	il ne peut etre sauve
did you win ?	l'as tu emporte ?
i'm not asleep	je ne suis pas endormi
tom hasn't forgiven anybody	tom n'a pardonne a personne
kyoto has many universities	kyoto compte de nombreuses universites
they acted on the information	ils ont agi selon l'information
it looks good on you	ca te va bien
i couldn't get it	je n'ai pas capte
i don't work here	je ne travaille pas ici
remain seated please	reste assis je te prie
make yourself at home	fais comme chez toi
read this	lis ceci
i think that was tom	je pense que c'etait tom
the tire leaks air	de l'air s'echappe du pneu
i hate it here	je deteste etre ici
they've crossed the border	ils ont traverse la frontiere
that movie stinks !	ce film craint !
i do have one request	j'ai effectivement une demande
he is blinded by love	il est aveugle par l'amour
you can't control me	vous ne pouvez me controler
skip the boring chapters	saute les chapitres ennuyeux
it's a good start	c'est un bon debut
i wasn't serious	je n'etais pas serieux
i've already paid you	je t'ai deja paye
tell me	dites moi !
you need an ambulance	tu as besoin d'une ambulance
i was a bit disappointed	j'ai ete un peu decue
you can't buy respect	on n'achete pas le respect
you're the greatest	tu es le meilleur
now this is a problem	maintenant c'est un probleme
he got across the river	il traversa le fleuve
i felt bad	je me suis senti mal
they were in the shower	elles etaient dans la douche
we obeyed the rules	nous avons obei au reglement
i have to win	il faut que je l'emporte
they stated their objections	ils exprimerent leurs reserves
i hate this	je deteste ca
i don't speak japanese	je ne parle pas japonais
he is his own master	il est son propre maitre
turn on the lights	allume les phares !
i appreciate the sentiment	vos paroles me touchent
we do not accept tips	nous n'acceptons pas les pourboires
the street is empty	la rue est vide
shall i continue ?	dois je continuer ?
everyone has their own style	chacun a son propre style
this is our house	c'est notre maison
do you promise ?	promets tu ?
somebody's made a mistake	quelqu'un a commis une erreur
i'm right aren't i ?	j'ai raison non ?
he left me the keys	il m'a laisse les cles
where's my mother ?	ou est ma mere ?
i hate when this happens	je deteste quand ca arrive
don't be upset	ne soyez pas contraries !
do you speak esperanto ?	parlez vous esperanto ?
you're very lonely	vous etes fort solitaire
i'd have waited for you	je t'aurais attendu
we expect good results	nous attendons de bons resultats
i'm okay	je vais bien
do you like apples ?	aimes tu les pommes ?
are you with someone ?	es tu avec quelqu'un ?
i have a toothache	j'ai mal aux dents
we're persevering	nous perseverons
he said nothing	il n'a rien dit
they live downstairs	elles vivent en dessous
this is my last offer	c'est mon ultime offre
i must destroy you	je dois te detruire
i'm stuffed	je suis gave
love doesn't exist	l'amour n'existe pas
is it your helicopter ?	c'est votre helicoptere ?
you can sit down now	vous pouvez vous asseoir maintenant
go back to your room	retournez dans votre chambre !
he was perfect	il a ete parfait
it's pretty cold	il fait assez froid
he intended to marry her	il avait l'intention de l'epouser
he is sitting cross legged	il est assis en tailleur
i'm fussy	je suis tatillon
i finished the work yesterday	j'ai fini le travail hier
i agree with him	je suis d'accord avec lui
they agreed to work together	ils s'accorderent pour travailler ensemble
i had to act quickly	j'ai du agir rapidement
forget it it's too risky	oubliez ! c'est trop risque
you're nice	t'es sympa
we've done a lot	nous avons fait beaucoup
i want a pool	je veux une piscine
how are you connected ?	comment etes vous relies ?
it's so clean	c'est tellement propre
show me some respect	montrez moi du respect !
everything has a price	tout a un prix
he was fully clothed	il etait entierement habille
they have two daughters	ils ont deux filles
we're truly worried	on est vraiment inquiets
i'd like to visit australia	je voudrais visiter l'australie
don't be upset	ne sois pas contrarie !
i'm resilient	je suis endurant
i need you here	j'ai besoin de vous ici
he does nothing but cry	il ne fait que pleurer
let's get the party started	inaugurons la reception
come on try again	allez essaie encore
he raised his arm	il leva le bras
i don't like this anymore	je ne l'aime plus
i'll give him a pen	je lui donnerai un stylo
isn't it lovely ?	n'est ce pas charmant ?
i have an old car	je possede une vieille voiture
you like everyone	tu apprecies tout le monde
he instantly denied it	il le nia immediatement
someone might get hurt	quelqu'un pourrait se blesser
